Chemical,Monitor,Date Time ,Reading
AGOC-3A,1,4/2/16 20:00,0.334778
Appluimonia,1,4/2/16 20:00,0.10275
Chlorodinine,1,4/2/16 20:00,0.0643571
AGOC-3A,1,4/2/16 21:00,0.164837
Chlorodinine,1,4/2/16 21:00,0.126771
Methylosmolene,1,4/2/16 21:00,0.0316234
Appluimonia,1,4/2/16 21:00,0.0164038
Appluimonia,1,4/2/16 22:00,0.580649
Chlorodinine,1,4/2/16 22:00,0.365752
Methylosmolene,1,4/2/16 22:00,0.148218
AGOC-3A,1,4/2/16 22:00,0.071305
Methylosmolene,1,4/2/16 23:00,0.199166
Appluimonia,1,4/2/16 23:00,0.145914
Chlorodinine,1,4/2/16 23:00,0.0669259
AGOC-3A,1,4/2/16 23:00,0.0317544
Chlorodinine,1,4/3/16 0:00,0.418392
Methylosmolene,1,4/3/16 0:00,0.340634
AGOC-3A,1,4/3/16 0:00,0.130586
Appluimonia,1,4/3/16 0:00,0.057853
AGOC-3A,1,4/3/16 1:00,0.32695
Methylosmolene,1,4/3/16 1:00,0.188021
Chlorodinine,1,4/3/16 1:00,0.175883
Appluimonia,1,4/3/16 1:00,0.140673
Methylosmolene,1,4/3/16 2:00,0.335258
Appluimonia,1,4/3/16 2:00,0.253848
Chlorodinine,1,4/3/16 2:00,0.243869
AGOC-3A,1,4/3/16 2:00,0.179593
Chlorodinine,1,4/3/16 3:00,0.543576
Appluimonia,1,4/3/16 3:00,0.286453
AGOC-3A,1,4/3/16 3:00,0.115341
Methylosmolene,1,4/3/16 3:00,0.0584006
AGOC-3A,1,4/3/16 4:00,0.23031
Methylosmolene,1,4/3/16 4:00,0.100834
Appluimonia,1,4/3/16 4:00,0.0747294
Chlorodinine,1,4/3/16 4:00,0.0227489
AGOC-3A,1,4/3/16 5:00,0.339735
Methylosmolene,1,4/3/16 5:00,0.25628
Appluimonia,1,4/3/16 5:00,0.181024
Chlorodinine,1,4/3/16 5:00,0.044596
Methylosmolene,1,4/3/16 6:00,0.198926
Chlorodinine,1,4/3/16 6:00,0.170681
Appluimonia,1,4/3/16 6:00,0.0249887
AGOC-3A,1,4/3/16 6:00,0.0204592
AGOC-3A,1,4/3/16 7:00,0.236718
Methylosmolene,1,4/3/16 7:00,0.118742
Appluimonia,1,4/3/16 7:00,0.0344505
Chlorodinine,1,4/3/16 7:00,0.0325593
Methylosmolene,1,4/3/16 8:00,0.266222
Chlorodinine,1,4/3/16 8:00,0.257044
AGOC-3A,1,4/3/16 8:00,0.215614
Appluimonia,1,4/3/16 8:00,0.120335
AGOC-3A,1,4/3/16 9:00,0.355135
Methylosmolene,1,4/3/16 9:00,0.265834
Chlorodinine,1,4/3/16 9:00,0.0871548
Appluimonia,1,4/3/16 9:00,0.056906
Chlorodinine,1,4/3/16 10:00,0.460316
Methylosmolene,1,4/3/16 10:00,0.246522
Appluimonia,1,4/3/16 10:00,0.242542
AGOC-3A,1,4/3/16 10:00,0.0288156
Methylosmolene,1,4/3/16 11:00,0.42153
Chlorodinine,1,4/3/16 11:00,0.217072
AGOC-3A,1,4/3/16 11:00,0.163904
Appluimonia,1,4/3/16 11:00,0.0359026
AGOC-3A,1,4/3/16 12:00,0.213497
Chlorodinine,1,4/3/16 12:00,0.130472
Methylosmolene,1,4/3/16 12:00,0.101422
Appluimonia,1,4/3/16 12:00,0.0705694
Chlorodinine,1,4/3/16 13:00,0.324193
AGOC-3A,1,4/3/16 13:00,0.296287
Methylosmolene,1,4/3/16 13:00,0.295086
Appluimonia,1,4/3/16 13:00,0.153745
Appluimonia,1,4/3/16 14:00,0.202364
AGOC-3A,1,4/3/16 14:00,0.118659
Chlorodinine,1,4/3/16 14:00,0.0725774
Methylosmolene,1,4/3/16 14:00,0.00100288
Appluimonia,1,4/3/16 15:00,0.487713
AGOC-3A,1,4/3/16 15:00,0.482391
Chlorodinine,1,4/3/16 15:00,0.413839
Methylosmolene,1,4/3/16 15:00,0.0613762
AGOC-3A,1,4/3/16 16:00,0.607934
Methylosmolene,1,4/3/16 16:00,0.144247
Chlorodinine,1,4/3/16 16:00,0.0737443
Appluimonia,1,4/3/16 16:00,0.0603239
Appluimonia,1,4/3/16 17:00,0.370282
Methylosmolene,1,4/3/16 17:00,0.291317
AGOC-3A,1,4/3/16 17:00,0.111675
Chlorodinine,1,4/3/16 17:00,0.104074
Appluimonia,1,4/3/16 18:00,0.418503
Methylosmolene,1,4/3/16 18:00,0.370413
Chlorodinine,1,4/3/16 18:00,0.370193
AGOC-3A,1,4/3/16 18:00,0.220328
Methylosmolene,1,4/3/16 19:00,0.259039
Chlorodinine,1,4/3/16 19:00,0.226322
Appluimonia,1,4/3/16 19:00,0.176083
AGOC-3A,1,4/3/16 19:00,0.0442175
AGOC-3A,1,4/3/16 20:00,0.264575
Appluimonia,1,4/3/16 20:00,0.257251
Chlorodinine,1,4/3/16 20:00,0.0549229
Methylosmolene,1,4/3/16 20:00,0.0547037
Methylosmolene,1,4/3/16 21:00,0.444993
Chlorodinine,1,4/3/16 21:00,0.195739
AGOC-3A,1,4/3/16 21:00,0.113882
Appluimonia,1,4/3/16 21:00,0.00609573
Methylosmolene,1,4/3/16 22:00,0.3894
Chlorodinine,1,4/3/16 22:00,0.296854
Appluimonia,1,4/3/16 22:00,0.292507
AGOC-3A,1,4/3/16 22:00,0.218393
Appluimonia,1,4/3/16 23:00,0.342975
Chlorodinine,1,4/3/16 23:00,0.252105
AGOC-3A,1,4/3/16 23:00,0.221591
Methylosmolene,1,4/3/16 23:00,0.101162
Methylosmolene,1,4/4/16 0:00,0.271465
AGOC-3A,1,4/4/16 0:00,0.271025
Appluimonia,1,4/4/16 0:00,0.144484
Chlorodinine,1,4/4/16 0:00,0.00574953
AGOC-3A,1,4/4/16 1:00,0.453372
Methylosmolene,1,4/4/16 1:00,0.254134
Chlorodinine,1,4/4/16 1:00,0.246931
Appluimonia,1,4/4/16 1:00,0.126509
Appluimonia,1,4/4/16 2:00,0.229861
Chlorodinine,1,4/4/16 2:00,0.105171
Methylosmolene,1,4/4/16 2:00,0.0777312
AGOC-3A,1,4/4/16 2:00,0.036074
Chlorodinine,1,4/4/16 3:00,0.317399
Methylosmolene,1,4/4/16 3:00,0.185384
Appluimonia,1,4/4/16 3:00,0.0672504
AGOC-3A,1,4/4/16 3:00,0.0206849
Methylosmolene,1,4/4/16 4:00,0.637885
Appluimonia,1,4/4/16 4:00,0.492266
AGOC-3A,1,4/4/16 4:00,0.330148
Chlorodinine,1,4/4/16 4:00,0.0247417
Appluimonia,1,4/4/16 5:00,0.571509
Chlorodinine,1,4/4/16 5:00,0.330735
Methylosmolene,1,4/4/16 5:00,0.326689
AGOC-3A,1,4/4/16 5:00,0.0526441
Methylosmolene,1,4/4/16 6:00,0.529763
Appluimonia,1,4/4/16 6:00,0.339481
AGOC-3A,1,4/4/16 6:00,0.176561
Chlorodinine,1,4/4/16 6:00,0.123801
AGOC-3A,1,4/4/16 7:00,0.374272
Methylosmolene,1,4/4/16 7:00,0.293308
Chlorodinine,1,4/4/16 7:00,0.187162
Appluimonia,1,4/4/16 7:00,0.134392
Chlorodinine,1,4/4/16 8:00,0.396144
Methylosmolene,1,4/4/16 8:00,0.247387
Appluimonia,1,4/4/16 8:00,0.215675
AGOC-3A,1,4/4/16 8:00,0.1206
Chlorodinine,1,4/4/16 9:00,0.624165
Appluimonia,1,4/4/16 9:00,0.542976
AGOC-3A,1,4/4/16 9:00,0.191698
Methylosmolene,1,4/4/16 9:00,0.170696
AGOC-3A,1,4/4/16 10:00,0.527053
Appluimonia,1,4/4/16 10:00,0.361413
Chlorodinine,1,4/4/16 10:00,0.270895
Methylosmolene,1,4/4/16 10:00,0.060316
AGOC-3A,1,4/4/16 11:00,0.413839
Methylosmolene,1,4/4/16 11:00,0.242366
Chlorodinine,1,4/4/16 11:00,0.152708
Appluimonia,1,4/4/16 11:00,0.0569456
Chlorodinine,1,4/4/16 12:00,0.396243
Methylosmolene,1,4/4/16 12:00,0.30824
AGOC-3A,1,4/4/16 12:00,0.284442
Appluimonia,1,4/4/16 12:00,0.0719589
Methylosmolene,1,4/4/16 13:00,0.341498
Chlorodinine,1,4/4/16 13:00,0.145533
AGOC-3A,1,4/4/16 13:00,0.101128
Appluimonia,1,4/4/16 13:00,0.0736291
Methylosmolene,1,4/4/16 14:00,0.578426
AGOC-3A,1,4/4/16 14:00,0.32449
Chlorodinine,1,4/4/16 14:00,0.123719
Appluimonia,1,4/4/16 14:00,0.0962397
Methylosmolene,1,4/4/16 15:00,0.210186
Appluimonia,1,4/4/16 15:00,0.0774911
AGOC-3A,1,4/4/16 15:00,0.0341182
Chlorodinine,1,4/4/16 15:00,0.0059734
AGOC-3A,1,4/4/16 16:00,0.400977
Appluimonia,1,4/4/16 16:00,0.297405
Methylosmolene,1,4/4/16 16:00,0.255452
Chlorodinine,1,4/4/16 16:00,0.107544
AGOC-3A,1,4/4/16 17:00,0.240225
Appluimonia,1,4/4/16 17:00,0.170974
Methylosmolene,1,4/4/16 17:00,0.0543649
Chlorodinine,1,4/4/16 17:00,0.0450096
Appluimonia,1,4/4/16 18:00,0.211642
Methylosmolene,1,4/4/16 18:00,0.19655
AGOC-3A,1,4/4/16 18:00,0.117561
Chlorodinine,1,4/4/16 18:00,0.0444112
Appluimonia,1,4/4/16 19:00,0.37797
AGOC-3A,1,4/4/16 19:00,0.329978
Chlorodinine,1,4/4/16 19:00,0.266141
Methylosmolene,1,4/4/16 19:00,0.0161569
Chlorodinine,1,4/4/16 20:00,0.499815
AGOC-3A,1,4/4/16 20:00,0.0735487
Methylosmolene,1,4/4/16 20:00,0.0733115
Appluimonia,1,4/4/16 20:00,0.0668495
AGOC-3A,1,4/4/16 21:00,0.472075
Chlorodinine,1,4/4/16 21:00,0.471018
Methylosmolene,1,4/4/16 21:00,0.21408
Appluimonia,1,4/4/16 21:00,0.0846126
AGOC-3A,1,4/4/16 22:00,0.485365
Methylosmolene,1,4/4/16 22:00,0.422436
Appluimonia,1,4/4/16 22:00,0.0476201
Chlorodinine,1,4/4/16 22:00,0.0459356
Appluimonia,1,4/4/16 23:00,0.34038
AGOC-3A,1,4/4/16 23:00,0.209987
Chlorodinine,1,4/4/16 23:00,0.183978
Methylosmolene,1,4/4/16 23:00,0.167214
Chlorodinine,1,4/5/16 0:00,0.521194
Methylosmolene,1,4/5/16 0:00,0.483514
AGOC-3A,1,4/5/16 0:00,0.353056
Appluimonia,1,4/5/16 0:00,0.00236589
Chlorodinine,1,4/5/16 1:00,0.299287
Appluimonia,1,4/5/16 1:00,0.166529
Methylosmolene,1,4/5/16 1:00,0.103779
AGOC-3A,1,4/5/16 1:00,0.0514039
Appluimonia,1,4/5/16 2:00,0.284655
AGOC-3A,1,4/5/16 2:00,0.138816
Chlorodinine,1,4/5/16 2:00,0.0568269
Methylosmolene,1,4/5/16 2:00,0.0343123
AGOC-3A,1,4/5/16 3:00,0.414844
Methylosmolene,1,4/5/16 3:00,0.125673
Chlorodinine,1,4/5/16 3:00,0.0975285
Appluimonia,1,4/5/16 3:00,0.0107915
Appluimonia,1,4/5/16 4:00,0.425386
AGOC-3A,1,4/5/16 4:00,0.256184
Chlorodinine,1,4/5/16 4:00,0.147071
Methylosmolene,1,4/5/16 4:00,0.0713231
AGOC-3A,1,4/5/16 5:00,0.357711
Chlorodinine,1,4/5/16 5:00,0.356815
Methylosmolene,1,4/5/16 5:00,0.271042
Appluimonia,1,4/5/16 5:00,0.164846
AGOC-3A,1,4/5/16 6:00,0.188327
Appluimonia,1,4/5/16 6:00,0.0470147
Chlorodinine,1,4/5/16 6:00,0.0358599
Methylosmolene,1,4/5/16 6:00,0.00897096
Appluimonia,1,4/5/16 7:00,0.478748
AGOC-3A,1,4/5/16 7:00,0.190212
Methylosmolene,1,4/5/16 7:00,0.174835
Chlorodinine,1,4/5/16 7:00,0.103151
AGOC-3A,1,4/5/16 8:00,0.308835
Appluimonia,1,4/5/16 8:00,0.220314
Methylosmolene,1,4/5/16 8:00,0.0941867
Chlorodinine,1,4/5/16 8:00,0.0335998
AGOC-3A,1,4/5/16 9:00,0.224456
Chlorodinine,1,4/5/16 9:00,0.170418
Methylosmolene,1,4/5/16 9:00,0.129585
Appluimonia,1,4/5/16 9:00,0.11316
AGOC-3A,1,4/5/16 10:00,0.590764
Appluimonia,1,4/5/16 10:00,0.350546
Chlorodinine,1,4/5/16 10:00,0.291029
Methylosmolene,1,4/5/16 10:00,0.201461
AGOC-3A,1,4/5/16 11:00,0.267986
Methylosmolene,1,4/5/16 11:00,0.188281
Chlorodinine,1,4/5/16 11:00,0.115493
Appluimonia,1,4/5/16 11:00,0.0868284
AGOC-3A,1,4/5/16 12:00,0.332616
Appluimonia,1,4/5/16 12:00,0.285078
Methylosmolene,1,4/5/16 12:00,0.181118
Chlorodinine,1,4/5/16 12:00,0.0933938
Methylosmolene,1,4/5/16 13:00,0.318127
Chlorodinine,1,4/5/16 13:00,0.258607
Appluimonia,1,4/5/16 13:00,0.102112
AGOC-3A,1,4/5/16 13:00,0.0835977
Appluimonia,1,4/5/16 14:00,0.452351
Methylosmolene,1,4/5/16 14:00,0.411069
AGOC-3A,1,4/5/16 14:00,0.337091
Chlorodinine,1,4/5/16 14:00,0.137565
Chlorodinine,1,4/5/16 15:00,0.511727
Appluimonia,1,4/5/16 15:00,0.256757
Methylosmolene,1,4/5/16 15:00,0.166392
AGOC-3A,1,4/5/16 15:00,0.0416829
Chlorodinine,1,4/5/16 16:00,0.330678
Appluimonia,1,4/5/16 16:00,0.299218
Methylosmolene,1,4/5/16 16:00,0.157426
AGOC-3A,1,4/5/16 16:00,0.0675897
Methylosmolene,1,4/5/16 17:00,0.114721
Appluimonia,1,4/5/16 17:00,0.106896
AGOC-3A,1,4/5/16 17:00,0.0763446
Chlorodinine,1,4/5/16 17:00,0.0119847
AGOC-3A,1,4/5/16 18:00,0.506523
Appluimonia,1,4/5/16 18:00,0.268716
Chlorodinine,1,4/5/16 18:00,0.0592871
Methylosmolene,1,4/5/16 18:00,0.0293006
Appluimonia,1,4/5/16 19:00,0.464954
AGOC-3A,1,4/5/16 19:00,0.453644
Methylosmolene,1,4/5/16 19:00,0.356628
Chlorodinine,1,4/5/16 19:00,0.243901
AGOC-3A,1,4/5/16 20:00,0.464733
Chlorodinine,1,4/5/16 20:00,0.421473
Appluimonia,1,4/5/16 20:00,0.273688
Methylosmolene,1,4/5/16 20:00,0.0234328
Appluimonia,1,4/5/16 21:00,0.299201
Chlorodinine,1,4/5/16 21:00,0.191283
Methylosmolene,1,4/5/16 21:00,0.170294
AGOC-3A,1,4/5/16 21:00,0.123949
Methylosmolene,1,4/5/16 22:00,0.228871
AGOC-3A,1,4/5/16 22:00,0.213867
Chlorodinine,1,4/5/16 22:00,0.208486
Appluimonia,1,4/5/16 22:00,0.151039
Chlorodinine,1,4/5/16 23:00,0.585338
Appluimonia,1,4/5/16 23:00,0.191299
Methylosmolene,1,4/5/16 23:00,0.0837232
AGOC-3A,1,4/5/16 23:00,0.0693409
Methylosmolene,1,4/6/16 1:00,0.567461
Appluimonia,1,4/6/16 1:00,0.340028
Chlorodinine,1,4/6/16 1:00,0.135892
AGOC-3A,1,4/6/16 1:00,0.0929175
AGOC-3A,1,4/6/16 2:00,0.192116
Appluimonia,1,4/6/16 2:00,0.130342
Chlorodinine,1,4/6/16 2:00,0.0619787
Methylosmolene,1,4/6/16 2:00,0.0597108
AGOC-3A,1,4/6/16 3:00,0.643968
Chlorodinine,1,4/6/16 3:00,0.461103
Appluimonia,1,4/6/16 3:00,0.294333
Methylosmolene,1,4/6/16 3:00,0.262243
AGOC-3A,1,4/6/16 4:00,0.446327
Methylosmolene,1,4/6/16 4:00,0.24271
Appluimonia,1,4/6/16 4:00,0.235987
Chlorodinine,1,4/6/16 4:00,0.0972016
Methylosmolene,1,4/6/16 5:00,0.285715
Chlorodinine,1,4/6/16 5:00,0.193657
AGOC-3A,1,4/6/16 5:00,0.156397
Appluimonia,1,4/6/16 5:00,0.0615702
AGOC-3A,1,4/6/16 6:00,0.235909
Appluimonia,1,4/6/16 6:00,0.211106
Methylosmolene,1,4/6/16 6:00,0.193213
Chlorodinine,1,4/6/16 6:00,0.0310996
Chlorodinine,1,4/6/16 7:00,0.289825
AGOC-3A,1,4/6/16 7:00,0.172968
Methylosmolene,1,4/6/16 7:00,0.128257
Appluimonia,1,4/6/16 7:00,0.0783574
Appluimonia,1,4/6/16 8:00,0.541586
Methylosmolene,1,4/6/16 8:00,0.466879
AGOC-3A,1,4/6/16 8:00,0.224934
Chlorodinine,1,4/6/16 8:00,0.018587
AGOC-3A,1,4/6/16 9:00,0.249498
Methylosmolene,1,4/6/16 9:00,0.174249
Chlorodinine,1,4/6/16 9:00,0.112762
Appluimonia,1,4/6/16 9:00,0.0118419
AGOC-3A,1,4/6/16 10:00,0.646707
Chlorodinine,1,4/6/16 10:00,0.287732
Methylosmolene,1,4/6/16 10:00,0.222284
Appluimonia,1,4/6/16 10:00,0.0362453
Chlorodinine,1,4/6/16 11:00,0.363028
AGOC-3A,1,4/6/16 11:00,0.333858
Methylosmolene,1,4/6/16 11:00,0.275854
Appluimonia,1,4/6/16 11:00,0.0889944
Appluimonia,1,4/6/16 12:00,0.247292
Chlorodinine,1,4/6/16 12:00,0.205348
AGOC-3A,1,4/6/16 12:00,0.0699273
Methylosmolene,1,4/6/16 12:00,0.0467597
Chlorodinine,1,4/6/16 13:00,0.306377
Appluimonia,1,4/6/16 13:00,0.24525
AGOC-3A,1,4/6/16 13:00,0.196366
Methylosmolene,1,4/6/16 13:00,0.0689996
Chlorodinine,1,4/6/16 14:00,0.607566
Appluimonia,1,4/6/16 14:00,0.518829
Methylosmolene,1,4/6/16 14:00,0.241897
AGOC-3A,1,4/6/16 14:00,0.0480019
Methylosmolene,1,4/6/16 15:00,0.451809
Appluimonia,1,4/6/16 15:00,0.254356
Chlorodinine,1,4/6/16 15:00,0.125146
AGOC-3A,1,4/6/16 15:00,0.0423899
Methylosmolene,1,4/6/16 16:00,0.438078
AGOC-3A,1,4/6/16 16:00,0.170124
Chlorodinine,1,4/6/16 16:00,0.103877
Appluimonia,1,4/6/16 16:00,0.0577941
Chlorodinine,1,4/6/16 17:00,0.476582
Appluimonia,1,4/6/16 17:00,0.275098
Methylosmolene,1,4/6/16 17:00,0.135988
AGOC-3A,1,4/6/16 17:00,0.013077
Methylosmolene,1,4/6/16 18:00,0.476184
AGOC-3A,1,4/6/16 18:00,0.322195
Appluimonia,1,4/6/16 18:00,0.136487
Chlorodinine,1,4/6/16 18:00,0.0378601
AGOC-3A,1,4/6/16 19:00,0.337091
Methylosmolene,1,4/6/16 19:00,0.289707
Appluimonia,1,4/6/16 19:00,0.0410879
Chlorodinine,1,4/6/16 19:00,0.0239764
AGOC-3A,1,4/6/16 20:00,0.130901
Methylosmolene,1,4/6/16 20:00,0.0994393
Appluimonia,1,4/6/16 20:00,0.0943734
Chlorodinine,1,4/6/16 20:00,0.00692655
Appluimonia,1,4/6/16 21:00,0.597926
Methylosmolene,1,4/6/16 21:00,0.110088
